"!",29694
"""",59730
"%",74
"&",4
"'",768
"(",1018
")",1017
"*",4511
"+",20
",",614696
"-",163258
".",513611
"/",1346
":",16243
";",3276
"<",193
"=",38
">",201
"?",40569
"@",7
"CR",265391
"HT",4119
"LF",383095
"NBSP",99822
"RS",13984
"SP",7901952
"[",49
"\",3
"]",55
"^",17
"_",641
"`",183
"{",47
"|",55
"}",6
"~",31
"©",3
"«",9780
"®",3
"°",25
"»",9764
"ѕ",16
"ј",1
"–",8117
"—",104911
"‘",2
"’",1377
"“",3377
"”",3350
"„",40
"•",17
"…",4523
"№",119
