"confidence","encoding","!","""","%","&","'","(",")","*","+",",","-",".","/",":",";","<","=",">","?","@","CR","HT","LF","NBSP","RS","SP","[","\","]","^","_","`","{","|","}","~","©","«","®","°","»","ѕ","ј","–","—","‘","’","“","”","„","•","…","№","file name"
0.99,"windows-1251",90,1431,"","",8,12,11,"","",6947,2468,5864,"",106,20,"","","",342,"",7586,"",7586,"","",185447,"","","","","","","","","",3,"","","","","","","","","","","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 38(ВОИН ХИРИЦУ)КОУЛМЕН.txt"
0.99,"windows-1251",132,1458,2,"",2,17,17,7,"",8725,3666,7608,"",148,9,"","","",380,"","","",10275,"","",112400,"","","","","","","","","","","","","","","","","","","","","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 39(ДОРОГА ИСХОДА)ЛИ ПАРДОУ .txt"
0.99,"windows-1251",92,"","","","",12,8,18,"",9551,606,6889,10,29,12,"","","",346,"",3804,"",3804,"","",104215,1,"",1,"","",12,"","","","","",140,"","",140,"","","",1304,"","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 40(ОХОТНИКИ)ГРЕССМАН.txt"
0.99,"windows-1251",86,515,"","",1,"","","","",9281,4261,6681,"",431,19,"","","",486,"","","",10090,"","",113163,"",1,"","","","","","","","","","","","","",16,"","","","","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 41(ВОЗРОЖДЕНИЕ ЗАВЕТА)СТАКПОЛ.txt"
0.99,"windows-1251",92,268,"","","",8,9,213,"",9552,1987,6700,16,35,12,"","","",350,"",2820,"",2816,"","",109042,2,"",2,"","",12,"","","","","","","","","","","",1004,"","","",6,6,"","",65,"","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 42(ОХОТНИКИ)ГРЕССМАН.txt"
0.99,"windows-1251",21,1,"",1,2,2,2,"","",7503,"",5417,3,68,13,"","","",305,"",2499,"",2499,1561,484,81645,"","","","","","","","","","","",720,"","",720,"","",1766,"","",9,1,"",1,"",15,"","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 43(ПРИНЦ ХАОСА)СТАКПОЛ.txt"
0.99,"windows-1251",317,518,"","",1,7,7,187,"",7438,3207,6159,"",292,9,"","","",446,"","","",8393,"","",89268,"","","","","","","","","","","","","","","","","","","","","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 49(СОКОЛИНАЯ ЗАРЯ)ТОРСТОН.txt"
0.99,"windows-1251",69,"","","",3,13,13,"","",5872,"",3393,1,63,11,"","","",198,"",1555,"",1555,1203,622,57398,"","","","","",1,"","","","","",625,1,"",623,"","",1367,"","","",3,"",3,"",19,"","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 50(МОМЕНТ ИСТИНЫ)ГРЕССМАН.txt"
0.99,"windows-1251",2,22,"","","","","","","",212,81,178,"",1,"","","","",2,"",78,"",78,"","",2025,"","","","","","","","","","","","","","","","","","","","","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 54(ИСПЫТАНИЕ ГЕРОЯ)ЛИ ПАРДОУ.txt"
0.99,"windows-1251",78,838,"","",3,106,106,"","",5933,1639,3845,"",54,161,"","","",292,"",5525,"",5525,"","",66646,"","","","","","","","","","","","","","","","","","","","","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 55(ПУТЬ СЛАВЫ)БИЛЛС.txt"
0.99,"windows-1251",456,"","","",10,2,2,"","",8345,650,6007,"",213,25,"","","",285,"",1841,"",1841,"","",94510,"","","","","","","","","","","",777,"","",777,"","",1,2167,"","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 56(ТЕНИ ВОЙНЫ)ГРЕССМАН.txt"
0.99,"windows-1251",464,"",17,"",270,23,23,"",1,9597,897,7613,39,236,145,"","","",586,"",3190,1,3190,"","",106523,"","","","","","","","","","","","","","","","","","",3472,"","",311,325,"","","",20,"test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 60(БРИГАДА  БОЛО)КЕЙТ.txt"
0.99,"windows-1251",758,986,"","",14,8,8,724,"",9987,929,7837,852,203,194,"","",2,709,"",3109,"",3109,"","",116111,"","",1,1,"","","","",2,1,"","","",3,"","","","",3463,"","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 61(ВОССТАНИЕ БОЛО)КЕЙТ.txt"
0.99,"windows-1251",330,4,29,"",22,66,65,"",4,7623,773,7472,6,131,54,4,24,7,433,"",2864,"",2864,"","",92281,"","","",1,2,"","","","",1,"",672,"",3,672,"","","",2087,"","","","",2,"",1,"","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 62(АТАКА БОЛО)КЕЙТ.txt"
0.99,"windows-1251",131,262,"",1,"",41,41,491,"",2531,1284,7075,81,472,1,"","","",96,5,11507,"",11499,1,"",128871,"","","","","",73,27,20,4,7,1,"","","","","","",173,"","","",1386,1389,"","",101,"","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 63(АЛМАЗНЫЕ АКУЛЫ)БАЗОРОВ.txt"
0.9458582060222555,"windows-1251",142,2265,"","","",7,7,550,2,4860,1613,6977,2,3,"","","","",183,"",9626,"",9626,19253,"",135883,"","","","","","","","","","","","","","","","","",226,1,"","",4,4,"","",225,"","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 64(БОЛЬШАЯ ИГРА)БАЗОРОВ.txt"
0.99,"windows-1251",655,112,"","","",42,42,607,1,3746,2304,7588,74,482,2,"","","",397,"",4641,"",4641,"","",74240,"","","","","","","","","","","","","","","","","","","","","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 65(ВОЙНА ТРАДИЦИЙ)БАЗОРОВ.txt"
0.99,"windows-1251",28,2846,"","","",40,40,455,"",2784,1569,7340,57,365,2,"","","",111,1,10997,"",10997,"","",125226,"","","","","",83,20,18,"",3,"","","","","","","",67,"","","",253,253,"","",11,"","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 66(НОВОЕ ПОКОЛЕНИЕ)БАЗОРОВ.txt"
0.9408601227694932,"windows-1251",112,185,"","","","","",240,"",2234,1075,4118,2,44,"","","","",152,"",4695,"",4695,9384,"",45956,"","","","","","","","","","","","","","","","","",211,"","","","","","","",99,"","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 67(ОТВЕТНЫЙ УДАР 2)БАЗОРОВ.txt"
