"confidence","encoding","!","""","%","&","'","(",")","*","+",",","-",".","/",":",";","<","=",">","?","@","CR","HT","LF","NBSP","RS","SP","[","\","]","^","_","`","{","|","}","~","©","«","®","°","»","ѕ","ј","–","—","‘","’","“","”","„","•","…","№","file name"
0.9481856428426046,"windows-1251",211,"","","","",4,3,"","",3748,"",3172,"",51,9,"","","",481,"",1759,"",1759,2412,494,41084,"","","","","",1,"","","","","",74,"","",74,"","",1,2622,"","",1,"",1,"",63,"","test\data\series\AЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА-33\АЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА 16.txt"
0.9442124713020964,"windows-1251",254,"","","","","","",1,"",3452,"",3163,"",79,14,"","","",387,"",1748,"",1748,2522,365,39991,"","",1,"","","","",1,"","","",83,"","",83,"","",1,2729,"","","","","",2,44,1,"test\data\series\AЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА-33\АЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА 17.txt"
0.93759415582147,"windows-1251",391,"","","",2,1,1,"","",3085,"",2545,2,99,6,"","","",417,"",1503,"",1503,2235,407,34990,"","",2,"","","","","","","","",39,"","",41,"","",1,2489,"","","","","","",124,"","test\data\series\AЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА-33\АЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА 18.txt"
0.99,"windows-1251",745,"","","","",11,11,"","",3558,"",2945,2,182,76,"","","",429,"",1678,"",1678,2233,484,42488,"","","","","","","","","","","",145,"","",143,"","",1,2441,"","",3,"",3,"",177,3,"test\data\series\AЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА-33\АЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА 19.txt"
0.9412832395544422,"windows-1251",246,"","","",2,"","","","",2727,"",2603,"",97,34,"","","",348,"",1323,"",1323,2101,347,32086,"","","","","","","","","","","",26,"","",26,"","",1,2304,"","","","",1,"",184,"","test\data\series\AЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА-33\АЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА 20.txt"
0.9457785921684055,"windows-1251",258,"","","","","","","","",2815,"",2547,"",56,4,"","","",290,"",1156,"",1156,1873,331,31115,"","","","","","","","","","","",60,"","",60,"","",1,1989,"","","","","","",92,"","test\data\series\AЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА-33\АЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА 21.txt"
0.9471273992455533,"windows-1251",744,"","","","",13,13,"","",3117,"",2517,2,224,11,"","","",412,"",1717,"",1717,2349,328,38108,"","","","","","","","","","","",143,"","",142,"","",1,2540,"","","","","","",79,"","test\data\series\AЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА-33\АЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА 22.txt"
0.9463644582310431,"windows-1251",264,"","","",25,"","","","",3028,"",2881,"",96,6,"","","",338,"",1457,"",1457,2157,338,35096,"","",1,1,"","","","","",11,"",83,1,"",82,"","",1,2354,"","","","",1,1,154,1,"test\data\series\AЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА-33\АЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА 23.txt"
0.99,"windows-1251",296,"","","","",2,2,"","",2929,"",2666,"",61,5,"","","",325,"",1385,"",1385,2065,368,35928,"","","","","","","","","","","",88,"","",88,"","",1,2248,"","",1,"",1,"",58,"","test\data\series\AЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА-33\АЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА 24.txt"
0.944890257075995,"windows-1251",520,"","","",1,1,1,1,"",2617,"",2133,2,78,10,"","","",352,"",1353,"",1353,1940,271,31117,5,"",2,"","","","","","","","",53,"","",52,"","",1,2078,"","",2,"",2,"",123,"","test\data\series\AЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА-33\АЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА 25.txt"
0.99,"windows-1251",604,"","","",4,"","",6,"",3212,"",2298,2,116,5,"","","",313,"",1537,"",1537,2109,346,35948,"","","","","","","","","","","",48,"","",48,"","",1,2243,"","","","","","",158,"","test\data\series\AЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА-33\АЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА 26.txt"
0.99,"windows-1251",215,"","","","","","","","",3249,"",2977,"",37,15,"","","",399,"",1357,"",1357,1941,376,36820,"","","","","","","","","","","",129,"","",128,"","",1,2030,"","","","","","",92,"","test\data\series\AЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА-33\АЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА 31.txt"
0.9418616411145914,"windows-1251",178,"","","","","","","","",2619,"",2313,"",70,"","","","",335,"",1178,"",1178,1806,239,28979,"","","","","","","","","","","",41,"","",40,"","",1,1887,"","",1,"",1,"",30,15,"test\data\series\AЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА-33\АЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА 32.txt"
0.99,"windows-1251",490,"","","",4,"","","","",3192,"",2155,2,67,19,"","","",268,"",1355,"",1355,1641,353,35333,2,"",2,"","","","","","","","",106,"","",109,"","",1,1760,"","","","","","",94,"","test\data\series\AЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА-33\АЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА 33.txt"
0.99,"windows-1251",107,"","","","","","","","",2495,"",2339,"",84,4,"",1,"",207,"",1223,"",1223,1329,268,29970,1,"",1,"","","","","","","","",76,"","",76,"","",1,1512,"",7,1,"",1,"",100,"","test\data\series\AЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА-33\АЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА 37.txt"
0.99,"windows-1251",291,"","","",2,"","","","",3079,"",2331,2,119,21,"","","",368,"",1493,"",1493,1997,451,33900,"","","","","","","","","","","",145,"","",144,"","",1,2117,"","",8,"",8,"",81,"","test\data\series\AЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА-33\АЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА 38.txt"
0.99,"windows-1251",52,"","","","",5,5,"","",3111,"",2473,"",178,3,"","","",295,"",1205,"",1205,1457,425,35458,"","","","","","","","","","","",147,"","",147,"","",1,1673,"","",5,"",5,"",204,"","test\data\series\AЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА-33\АЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА 40.txt"
0.99,"windows-1251",284,"","","",5,"","","","",2811,"",2823,"",60,5,"","","",401,"",1558,"",1558,1892,357,35116,1,"",1,"","","","","","","","",103,"","",105,"","",1,2005,"","",3,"",3,"",70,"","test\data\series\AЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА-33\АЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА 41.txt"
0.99,"windows-1251",383,"",11,"",10,25,25,17,1,10366,928,7398,6,111,46,"","","",465,"",2603,"",2603,1040,"",104612,17,"",17,"","","","","","","","",859,"","",855,"","",1,2309,"","","","","","",1,2,"test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 01(ШАГАЮЩАЯ СМЕРТЬ 1)КЕЙТ.txt"
0.99,"windows-1251",449,2,4,"",23,46,52,"","",9797,1071,7668,3,199,46,"","","",546,"",2637,"",2637,2,"",94487,"","","","",1,"","","","","","",910,"",6,910,"","",1,2532,"","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 02(ШАГАЮЩАЯ СМЕРТЬ 2)КЕЙТ.txt"
0.99,"windows-1251",512,1877,"","",11,3,4,287,1,11278,1333,6950,19,59,69,"",7,"",517,"",2821,"",2821,"","",113645,"","","","","","","","","",3,"","","","","","","","",2639,"","","","",1,1,"","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 03(ШАГАЮЩАЯ СМЕРТЬ 3)КЕЙТ.txt"
0.99,"windows-1251",403,2064,6,"",3,7,8,63,"",11069,950,7726,5,65,50,"",1,"",526,"",2817,"",2817,"","",112741,"","","",2,"","","","","",1,"","","",6,"","","","",2901,"","","","","",2,"",1,"test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 04(ШАГАЮЩАЯ СМЕРТЬ 4)КЕЙТ.txt"
0.99,"windows-1251",249,26,"","",4,3,3,9,"",11388,"",9703,4,157,91,"","","",542,"",3701,"",3701,3188,1047,128432,"","","","","","","","","","","",919,"","",919,"","",1,3530,"","","","","",1,"","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 05(ВОЛКИ НА ГРАНИЦЕ)ЧЕРРИТ.txt"
0.99,"windows-1251",649,1077,"","",4,17,17,14,"",13192,5841,12630,1,347,3,"","","",975,"","","",15351,"","",170904,"","","","","","","","","",1,"","","","","","","","","","","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 06(НАСЛЕДНИК ДРАКОНА)ЧЕРРИТ.txt"
0.99,"windows-1251",115,1272,"","","",10,10,237,"",7739,2691,6210,"",155,23,"","","",500,"",2672,"",2672,"","",93901,1,"",1,"",9,"","","","","","","","","","","","","","","","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 07(ПУТЬ ВОИНА)ТОРСТОН.txt"
0.99,"windows-1251",181,770,"","","",8,8,"","",6803,2559,5423,"",99,13,"","","",521,"",2220,"",2220,"","",82814,1,"",1,"","","","","","","","","","","","","","","","","","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 08(КЛАН КРЕЧЕТА)ТОРСТОН.txt"
0.99,"windows-1251",190,788,"",1,"",32,32,6,"",8139,2735,7884,"",190,12,1,"",1,603,"",2147,"",2147,"","",91199,"","","","","","","","","","","","","","","","","","","","","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 09(ПУТЬ КЛАНОВ)ТОРСТОН.txt"
0.99,"windows-1251",165,1632,"","",4,3,3,1,"",10473,4439,8987,"",335,45,"","","",674,"",3782,"",3782,"","",139321,"","","",1,"","","","","","","","","","","","","","","","","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 10(ВОЛЧЬЯ СТАЯ)ЧЕРРИТ.txt"
0.99,"windows-1251",140,1261,"","",1,3,3,"","",10226,687,7338,"",145,9,"","","",527,"",3576,"",3576,"","",108656,"","","","","","","","","","","","","","","","","",3223,"","","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 11(ЕСТЕСТВЕННЫЙ  ОТБОР)СТАКПОЛ.txt"
0.99,"windows-1251",473,1639,"","",15,29,29,"","",8619,2813,7103,14,130,70,"","","",467,"",2455,"",2455,"","",98640,"","","",1,4,"","","","","","","","","","","","",1,"",1,383,"","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 12(БИТВА)КЕЙТ.txt"
0.99,"windows-1251",627,2686,"","",7,16,15,"","",9536,4187,9849,21,304,20,"","","",717,"",3521,10,3521,5,"",128008,"","","","","","","","","","","","","","","","","",4,"",1,497,"","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 13(ЗВЕЗДА НАЕМНИКОВ)КЕЙТ.txt"
0.99,"windows-1251",847,1861,4,"",12,20,20,39,"",8609,3939,8970,7,113,160,"","",1,664,"",3240,"",3236,"","",117830,"","","",2,"","","","","","","","","",1,"","","",2,"","","","","","",2,4,"","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 14(ЦЕНА СЛАВЫ)КЕЙТ.txt"
0.99,"windows-1251",185,831,"","",2,12,11,2,"",6434,3447,6133,15,383,23,"","","",660,"",2910,10,2910,"","",86886,"","","","","","","","","","","","","","","","","",5,"","",106,"","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 15(ИДЕАЛЬНАЯ ВОЙНА)КУБАСИК.txt"
0.99,"windows-1251",114,2524,"","",70,25,25,"","",8666,3166,7112,46,287,52,"","","",482,"",3016,1,3012,"","",108824,"","","","","","","","","","","","","","","","","",28,"","",368,2,"","","","",1,"test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 16(ОСНОВНОЕ СОБЫТИЕ)ЛОНГ.txt"
0.99,"windows-1251",377,1836,"","",23,7,7,"","",9807,4395,7835,6,95,13,"","","",374,"",3069,"",3065,"","",120981,"","","","","","","","","","","","","","","","","","","","","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 17(КРОВЬ ГЕРОЕВ)КЕЙТ.txt"
0.99,"windows-1251",156,1076,"","",1,"","","","",12903,5648,8330,"",599,15,"","","",744,"",3789,"",3789,"","",144735,"","","","","","","","","","","","","","","","","","","","","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 18(ЦЕНА РИСКА)СТАКПОЛ.txt"
0.99,"windows-1251",179,858,"","",1,9,9,10,"",8499,2377,6695,1,104,16,"","","",282,"",10054,"",10054,"","",177877,"","","","","","","","","","","","","","","","","","","","","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 19(ДАЛЕКАЯ СТРАНА)РАЙС.txt"
0.99,"windows-1251",339,2212,"","",19,8,8,"","",12146,5362,9234,6,433,88,"","","",639,"",4313,"",4309,"","",148131,"","","","","",1,"",1,"","","","","","","","","","","","","","","","",1,"","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 20(РУКОПАШНЫЙ БОЙ)МИЛАН.txt"
0.99,"windows-1251",97,1936,"","",41,1,1,1,"",9142,4299,6545,7,163,8,"","","",554,"",2149,"",2145,"","",100996,"","",1,"","","","","","","","","","","","","","",2,"","","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 21(СПИСОК ПОТЕРЬ)ЛОНГ.txt"
0.99,"windows-1251",123,929,"","",5,1,1,"","",11003,4407,8497,"",165,14,"","","",692,"","","",12797,"","",139201,"","","","","","","","","","","","","","","","","","","","","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 22(РОЖДЕННЫЙ ДЛЯ ВОЙНЫ )СТАКПОЛ.txt"
0.99,"windows-1251",292,16,"","","",1,1,7,"",9072,4603,7297,"",202,6,"","","",896,"",3081,"",3081,"","",107291,"","","",1,"","","","","","","","","","","","","","","","","",449,443,"",3,"",11,"test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 23(НЕФРИТОВЫЙ СОКОЛ)ТОРСТОН.txt"
0.99,"windows-1251",437,1699,"","",4,"","","","",11732,5727,9714,6,261,7,"","",1,751,"",2949,"",2945,"","",136315,"","","","","","","",1,"","","","","","","","","","","","",6,"","","",1,"",3,"test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 24(ОПЕРАЦИЯ ГОРЕЦ)ЛИ ПАРДУ.txt"
0.99,"windows-1251",624,1859,"","",3,3,3,147,"",10791,4161,7276,6,174,12,"",2,"",688,"",3216,"",3212,"","",125526,"","","","","","","","","","","","","","","","","","","","","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 25(ТАКТИКА ДОЛГА)КЕЙТ.txt"
